image_id,storm_id,relative_time,ocean,wind_speed
image_102,gkf,336600,2,57
image_103,wic,226799,1,25
image_104,wbb,198000,1,56
image_105,nue,514801,2,45
image_106,ipa,388799,1,90
image_107,ojw,442799,1,40
image_108,fpa,313201,1,62
image_109,qki,180001,1,62
image_110,dvh,176400,1,89
image_111,rkf,241200,2,25
image_112,atz,122401,2,30
image_113,ptk,455400,1,20
image_114,zkg,111600,1,71
image_115,fgi,835200,1,25
image_116,xdn,66600,1,31
image_117,bvg,331200,1,30
image_118,dft,248400,1,104
image_119,dnd,99000,2,97
image_120,rml,239399,2,35
image_121,ltf,90000,1,55
image_122,pth,286199,1,35
image_123,efl,538199,1,34
image_124,sqi,340200,1,25
image_125,utr,154800,1,41
image_126,vsc,241201,1,55
image_127,djb,476999,1,25
image_128,tnn,64799,1,35
image_129,wlz,230401,2,40
image_130,hcg,108002,2,72
image_131,ggv,604800,2,85
image_132,psz,712801,2,90
image_133,ugo,50398,1,30
image_134,suc,136802,2,28
image_135,fna,694800,1,60
image_136,gux,374401,2,133
image_137,cym,66599,1,40
image_138,ydl,311402,1,30
image_139,upj,205199,1,48
image_140,efl,579600,1,30
image_141,ijc,46800,1,38
image_142,fhl,237599,1,91
image_143,jhp,162000,1,48
image_144,xat,316801,2,65
image_145,llm,404999,2,50
image_146,ojv,741598,1,25
image_147,fuv,118799,1,36
image_148,fns,10800,2,28
image_149,umz,360000,1,25
image_150,gic,205201,2,35
image_151,iaz,678600,2,74
image_152,ipa,1112400,1,25
image_153,mtw,338400,1,46
image_154,oac,518400,1,25
image_155,xmf,307800,1,37
image_156,qdh,298801,2,99
image_157,hzg,104398,2,34
image_158,qzd,180001,1,58
image_159,hww,82800,1,40
image_160,ipa,995399,1,30
image_161,qki,455401,1,104
image_162,upx,7202,1,28
image_163,tmx,381601,1,67
image_164,blq,415800,1,45
image_165,dkb,81000,2,57
image_166,eoi,93601,1,30
image_167,vib,153000,2,45
image_168,gme,552601,1,32
image_169,yyj,163800,1,35
image_170,jtq,26999,2,86
image_171,lmj,59400,1,31
image_172,hfh,320389,1,90
image_173,whm,385201,1,65
image_174,rpk,196202,1,65
image_175,hqw,442802,2,110
image_176,phw,3600,1,30
image_177,tgs,235798,1,32
image_178,tmv,248399,2,90
image_179,whm,266400,1,75
image_180,xkr,315002,1,25
image_181,iaz,93600,2,55
image_182,knx,99000,1,40
image_183,xat,241201,2,50
image_184,djb,790200,1,25
image_185,dnd,318598,2,36
image_186,xjo,1040399,1,40
image_187,psd,86400,2,27
image_188,pjj,633599,1,25
image_189,sth,169199,2,45
image_190,ipa,514800,1,81
image_191,soo,172801,1,57
image_192,utl,379801,1,87
image_193,orp,613802,2,25
image_194,ics,9000,1,69
image_195,ibx,122402,1,45
image_196,ojw,129601,1,94
image_197,abs,129599,2,54
image_198,vzn,174600,2,30
image_199,woc,628199,1,20
image_200,eem,466199,1,33
image_201,ohj,129602,1,61
image_202,zvv,284401,1,89
image_203,pug,541799,1,105
image_204,byg,185400,2,25
image_205,cti,37800,1,53
image_206,mtw,414002,1,45
image_207,tnn,163798,1,25
image_208,tmv,471600,2,115
image_209,oup,331199,1,58
image_210,rbe,243001,1,28
image_211,mkf,377993,1,80
image_212,fcr,750599,1,80
image_213,uhd,79201,1,30
image_214,xnq,401400,2,86
image_215,hlt,27001,2,31
image_216,dky,291599,2,40
image_217,vib,35999,2,39
image_218,iiz,201600,1,47
image_219,zzp,162000,1,55
image_220,gxi,5401,2,39
image_221,rdc,633601,2,145
image_222,dsr,241202,2,25
image_223,cti,129599,1,116
image_224,mfu,473401,1,25
image_225,fzw,426597,2,91
image_226,yjk,309599,2,40
image_227,hsq,399600,1,118
image_228,ymo,448198,1,30
image_229,ywf,1085398,1,17
image_230,hig,586799,1,90
image_231,vsc,198000,1,45
image_232,zmi,491401,1,21
image_233,qxu,374399,2,50
image_234,aph,55799,2,35
image_235,hrw,151199,1,50
image_236,pyi,378001,1,86
image_237,qpq,565198,1,86
image_238,umz,30601,1,45
image_239,zzp,134999,1,52
image_240,kqu,64801,1,25
image_241,cym,68399,1,40
image_242,hcg,372602,2,122
image_243,ojv,250200,1,35
image_244,vlo,673201,1,19
image_245,pjj,57600,1,43
image_246,rml,673201,2,30
image_247,tmx,468002,1,35
image_248,yfn,930601,2,30
image_249,kqu,244802,1,72
image_250,gio,156600,1,45
image_251,zoi,237600,2,45
image_252,ywf,311400,1,49
image_253,whm,428401,1,60
image_254,wzu,594000,1,20
image_255,btq,14400,2,34
image_256,afs,385198,2,25
image_257,snk,214201,1,112
image_258,efl,246600,1,140
image_259,dnd,597599,2,25
image_260,dce,10800,2,25
image_261,grt,358200,1,33
image_262,res,64800,1,43
image_263,uwv,246600,2,55
image_264,nrf,167401,1,36
image_265,frv,226798,1,115
image_266,upx,559803,1,29
image_267,pau,457200,1,30
image_268,iiz,163800,1,33
image_269,rml,765000,2,30
image_270,djm,448200,1,75
image_271,zyp,108000,1,55
image_272,aoe,129601,1,30
image_273,ise,269998,1,50
image_274,pky,34201,1,35
image_275,wbb,219599,1,60
image_276,fna,882000,1,35
image_277,dhd,1801,2,30
image_278,wic,199800,1,25
image_279,ffk,111601,1,45
image_280,nrf,291601,1,30
image_281,pyi,43202,1,40
image_282,xmf,561599,1,20
image_283,hmv,568799,1,25
image_284,pug,394199,1,77
image_285,fna,936002,1,30
image_286,gkf,381599,2,55
image_287,hfh,309589,1,90
image_288,sxb,842399,2,65
image_289,ymo,153000,1,66
image_290,dli,172799,1,55
image_291,erd,180001,2,55
image_292,uty,181800,1,25
image_293,alq,216001,1,56
image_294,alq,142202,1,33
image_295,ssq,61200,1,45
image_296,pjj,610198,1,28
image_297,gux,295200,2,130
image_298,fna,930602,1,30
image_299,ywf,570600,1,25
image_300,bvg,338400,1,30
image_301,amn,189001,2,50
image_302,kfs,39599,2,45
image_303,cfk,99000,2,35
image_304,vfx,403204,1,60
image_305,hsq,469801,1,130
image_306,tjj,239399,1,65
image_307,vrx,450000,1,15
image_308,llm,140399,2,70
image_309,rib,223198,1,62
image_310,pxi,1800,1,30
image_311,djb,514800,1,25
image_312,ugo,199798,1,20
image_313,zzp,93600,1,42
image_314,dce,446397,2,75
image_315,hfh,302389,1,90
image_316,csd,504000,2,54
image_317,afs,377997,2,25
image_318,afs,172798,2,40
image_319,xdn,10802,1,30
image_320,xtd,518400,1,60
image_321,gic,680403,2,45
image_322,yfn,183599,2,53
image_323,blq,655198,1,58
image_324,qvf,334802,1,20
image_325,dce,957593,2,90
image_326,wvi,109798,1,63
image_327,gic,446401,2,65
image_328,zgr,10798,1,33
image_329,zvx,349203,1,25
image_330,qpq,234000,1,35
image_331,zny,201602,1,35
image_332,jwn,59401,1,44
image_333,tlc,239399,1,26
image_334,sha,237602,2,55
image_335,qki,369001,1,90
image_336,tmv,46800,2,31
image_337,mlf,133202,1,35
image_338,vrx,320401,1,40
image_339,soo,457200,1,47
image_340,pvj,736201,1,30
image_341,eoi,813602,1,60
image_342,hvz,26998,1,30
image_343,hsq,921600,1,25
image_344,tlc,370801,1,48
image_345,gzl,261001,2,111
image_346,htc,313200,1,28
image_347,gux,691200,2,120
image_348,dpc,36001,1,25
image_349,hlt,140401,2,50
image_350,oup,642599,1,35
image_351,xjo,543599,1,84
image_352,kdy,97199,1,38
image_353,pcq,385200,2,148
image_354,orp,644402,2,25
image_355,wzu,471601,1,40
image_356,dpc,243000,1,57
image_357,ojv,901799,1,21
image_358,ogw,369000,1,44
image_359,djr,252000,2,30
image_360,iag,307799,1,113
image_361,vcv,133201,1,50
image_362,kyq,511200,2,30
image_363,tmx,568802,1,20
image_364,ise,260998,1,48
image_365,yjk,291599,2,45
image_366,pbk,185400,2,30
image_367,bxd,5400,1,25
image_368,jkh,143999,2,50
image_369,avn,169200,2,41
image_370,ipa,133199,1,68
image_371,ogw,61201,1,40
image_372,zgi,268199,1,92
image_373,tgj,140401,1,37
image_374,hmv,89998,1,26
image_375,zmi,217801,1,30
image_376,cym,5400,1,25
image_377,cpf,86399,2,45
image_378,ang,50399,2,30
image_379,zgi,356400,1,70
image_380,ijc,296999,1,102
image_381,qxu,72000,2,50
image_382,bkh,320400,1,71
image_383,orp,459001,2,25
image_384,tkb,111600,1,27
image_385,ykj,138601,1,108
image_386,lqy,111600,2,50
image_387,blq,518400,1,40
image_388,okk,82799,1,54
image_389,xmf,250202,1,35
image_390,eih,194400,1,59
image_391,phw,64800,1,39
image_392,qks,70200,2,46
image_393,ugc,135001,1,43
image_394,vlo,43201,1,35
image_395,ycb,26999,2,40
image_396,sqi,48598,1,37
image_397,mtw,16200,1,30
image_398,fch,68401,1,35
image_399,pth,545399,1,20
image_400,gmt,261000,2,79
image_401,hht,1800,1,26
image_402,ezh,10800,2,29
image_403,zwh,48596,2,40
image_404,pot,522000,2,25
image_405,gkf,504002,2,50
image_406,buv,89999,1,68
image_407,gkf,469799,2,50
image_408,zzp,383399,1,104
image_409,vni,18000,1,125
image_410,ugc,140402,1,42
image_411,pvj,336602,1,100
image_412,zgr,539998,1,25
image_413,umz,37800,1,45
image_414,tmx,439201,1,42
image_415,cva,455398,2,56
image_416,gst,70200,2,40
image_417,ipa,676799,1,52
image_418,amn,124200,2,50
image_419,cva,158399,2,40
image_420,mtw,126002,1,35
image_421,wvi,500401,1,20
image_422,toz,7200,2,32
image_423,bkh,489601,1,40
image_424,vtw,498598,1,65
image_425,zvv,189000,1,131
image_426,nrf,54002,1,41
image_427,zny,349201,1,55
image_428,ssq,334802,1,60
image_429,vfx,68400,1,35
image_430,pth,16199,1,29
image_431,zny,824401,1,75
image_432,snk,682200,1,30
image_433,vye,129599,1,30
image_434,xjo,637198,1,57
image_435,xjo,1259998,1,35
image_436,soo,476999,1,37
image_437,hfh,619191,1,25
image_438,utr,403200,1,30
image_439,oup,588599,1,30
image_440,dpc,81000,1,30
image_441,jkh,140398,2,50
image_442,uua,3600,2,30
image_443,dgz,136799,1,59
image_444,gst,37801,2,30
image_445,dft,21602,1,30
image_446,wtg,70200,2,46
image_447,zgi,739798,1,20
image_448,ztb,135001,1,55
image_449,fna,898202,1,32
image_450,jop,46799,2,31
image_451,zvv,233999,1,116
image_452,hzg,179999,2,52
image_453,yfn,844201,2,35
image_454,hnb,64798,1,25
image_455,sha,352800,2,65
image_456,ztb,351000,1,46
image_457,bkf,199799,2,90
image_458,frv,345600,1,52
image_459,jhp,286199,1,77
image_460,atz,239402,2,25
image_461,sdt,79201,1,68
image_462,sse,455402,1,25
image_463,abs,66600,2,63
image_464,jtq,79200,2,95
image_465,mwm,99000,1,23
image_466,dgz,270000,1,39
image_467,cva,489599,2,72
image_468,dft,280802,1,125
image_469,mfu,680402,1,20
image_470,dwc,206998,1,68
image_471,mtw,761401,1,28
image_472,pfe,273594,1,30
image_473,jop,66601,2,36
image_474,tcn,145798,2,74
image_475,npg,98998,1,75
image_476,hld,115200,1,27
image_477,woc,356399,1,39
image_478,lac,194394,2,45
image_479,hsq,637201,1,89
image_480,xjo,511200,1,85
image_481,gxi,118800,2,60
image_482,ywf,1513798,1,25
image_483,rpk,185401,1,65
image_484,fgi,381599,1,90
image_485,yfn,372601,2,79
image_486,oac,410398,1,28
image_487,rkw,113401,2,25
image_488,bkf,19799,2,43
image_489,eoi,433803,1,80
image_490,pcq,374400,2,146
image_491,rkw,172801,2,26
image_492,fna,118802,1,25
image_493,pbk,102600,2,31
image_494,pjj,585000,1,30
image_495,hht,25200,1,31
image_496,blq,811798,1,30
image_497,eze,43199,2,38
image_498,hrw,590399,1,58
image_499,yfj,28800,1,30
image_500,csd,234000,2,50
image_501,upj,143999,1,35
image_502,dti,264601,2,34
image_503,frv,388799,1,33
image_504,pbk,68400,2,45
image_505,tnn,122399,1,30
image_506,hww,176400,1,59
image_507,zus,3600,1,26
image_508,fgi,363598,1,91
image_509,gkd,108001,1,35
image_510,tzf,10800,2,25
image_511,eih,442800,1,32
image_512,yry,79191,2,30
image_513,znw,0,1,25
image_514,imi,597600,2,86
image_515,vzn,199800,2,30
image_516,cva,1800,2,30
image_517,ble,50398,2,30
image_518,hmv,46798,1,25
image_519,woz,208801,1,51
image_520,zvv,282600,1,89
image_521,lqy,215999,2,70
image_522,pbl,91798,1,40
image_523,pjj,255598,1,104
image_524,qki,628201,1,65
image_525,ijc,739798,1,23
image_526,llm,390599,2,50
image_527,fcr,233999,1,45
image_528,afs,0,2,45
image_529,meg,397800,2,104
image_530,iiz,125999,1,30
image_531,upj,61199,1,25
image_532,qks,125999,2,59
image_533,ipa,988199,1,31
image_534,dpc,511200,1,25
image_535,rfh,90000,2,51
image_536,eck,349200,2,100
image_537,jht,324000,2,126
image_538,woc,131399,1,60
image_539,bvg,503999,1,25
image_540,rkw,486002,2,40
image_541,vlz,82800,2,35
image_542,hsq,575999,1,115
image_543,aoe,7200,1,30
image_544,ipa,435600,1,98
image_545,jwn,45001,1,41
image_546,djm,253800,1,116
image_547,upx,671401,1,20
image_548,whm,437401,1,60
image_549,cqv,93601,1,43
image_550,qpq,327600,1,41
image_551,yry,950394,2,90
image_552,sxb,682199,2,83
image_553,ryg,360000,2,90
image_554,kyq,484198,2,32
image_555,eon,44998,2,36
image_556,pvj,423002,1,68
image_557,fnu,97202,2,58
image_558,jrt,558002,1,20
image_559,eoi,448203,1,80
image_560,kaz,196200,2,81
image_561,ing,39599,1,30
image_562,ist,188999,1,35
image_563,csd,297000,2,55
image_564,pug,423000,1,90
image_565,rzq,296999,1,30
image_566,blq,37799,1,34
image_567,znw,307799,1,48
image_568,tzf,197999,2,45
image_569,jkh,153000,2,51
image_570,cva,206999,2,45
image_571,sse,151200,1,65
image_572,ixs,163801,1,40
image_573,jlj,55800,2,52
image_574,dzw,88200,1,57
image_575,cxh,228600,1,61
image_576,cxh,165602,1,57
image_577,gtn,323989,2,60
image_578,wsy,383402,1,121
image_579,sxb,437400,2,79
image_580,kqf,333001,2,41
image_581,zzp,503998,1,85
image_582,scw,37801,1,20
image_583,efl,133198,1,93
image_584,npg,28798,1,53
image_585,xkr,309603,1,25
image_586,ipa,413999,1,95
image_587,sqs,75599,2,23
image_588,tcn,226799,2,80
image_589,eef,66601,2,41
image_590,iaz,311401,2,111
image_591,sdt,117001,1,83
image_592,djb,597599,1,25
image_593,bxd,390598,1,25
image_594,alq,113400,1,30
image_595,gme,385201,1,35
image_596,vib,25200,2,36
image_597,amd,183599,1,20
image_598,ugc,169201,1,40
image_599,meg,484200,2,85
image_600,zgi,624599,1,25
image_601,vxf,619199,1,35
image_602,ota,77400,1,48
image_603,vfx,122400,1,50
image_604,ezh,570601,2,30
image_605,bvg,779400,1,20
image_606,xjo,270000,1,40
image_607,pky,28801,1,35
image_608,oli,32400,1,106
image_609,ise,345598,1,71
image_610,ugc,345600,1,25
image_611,vni,9001,1,125
image_612,zkg,134999,1,77
image_613,kqu,725402,1,70
image_614,pbk,111600,2,30
image_615,lac,687597,2,45
image_616,aja,369001,1,20
image_617,ijc,444599,1,80
image_618,rkf,21599,2,25
image_619,zny,491400,1,65
image_620,yjk,140400,2,50
image_621,pau,118801,1,69
image_622,kyq,496800,2,30
image_623,dti,361800,2,25
image_624,blq,471599,1,45
image_625,dvh,208802,1,85
image_626,gux,167400,2,97
image_627,fcr,122399,1,25
image_628,dli,226800,1,47
image_629,amn,206999,2,50
image_630,mhm,111599,2,45
image_631,scw,221401,1,25
image_632,nkd,368998,1,55
image_633,lmj,172800,1,20
image_634,woc,106199,1,60
image_635,vye,610200,1,30
image_636,orj,3601,2,25
image_637,upx,527402,1,32
image_638,mtw,745202,1,30
image_639,sta,154799,1,26
image_640,buv,548998,1,25
image_641,phw,352800,1,20
image_642,iiz,250200,1,53
image_643,amd,248398,1,20
image_644,xtr,109800,2,46
image_645,xrh,383401,2,21
image_646,yry,730797,2,55
image_647,jjf,19800,2,40
image_648,qpq,356399,1,48
image_649,mfu,628202,1,20
image_650,eoi,891002,1,65
image_651,vfx,75600,1,35
image_652,xmf,153001,1,30
image_653,xlb,153001,2,89
image_654,amw,46799,2,42
image_655,zzp,46799,1,31
image_656,rml,10800,2,25
image_657,fcr,423001,1,78
image_658,fcr,156599,1,27
image_659,zvv,345600,1,80
image_660,ezh,324001,2,63
image_661,xtd,795599,1,25
image_662,cti,412199,1,105
image_663,rbe,25200,1,38
image_664,lqe,57600,2,40
image_665,fcr,228599,1,43
image_666,hkz,129600,2,55
image_667,sha,221402,2,55
image_668,xkr,55803,1,28
image_669,tcn,131399,2,71
image_670,sse,205202,1,57
image_671,mpq,5402,2,30
image_672,whm,228601,1,73
image_673,pvj,406801,1,76
image_674,pth,77401,1,30
image_675,gme,198002,1,40
image_676,pvj,790200,1,30
image_677,gio,7200,1,30
image_678,yti,39600,1,25
image_679,bvg,577799,1,21
image_680,qim,248401,1,25
image_681,zyp,115200,1,57
image_682,rxi,100799,1,40
image_683,kqu,500401,1,110
image_684,mca,8999,1,30
image_685,tbs,7201,1,27
image_686,gme,849601,1,20
image_687,kyq,221399,2,88
image_688,xdn,5400,1,30
image_689,gme,10801,1,30
image_690,cna,131400,2,50
image_691,lij,122399,1,90
image_692,zyp,93600,1,52
image_693,dce,115199,2,40
image_694,pxi,144002,1,39
image_695,cti,552598,1,45
image_696,dpc,208802,1,54
image_697,upx,669601,1,20
image_698,sha,511202,2,74
image_699,dhv,16201,1,34
image_700,vib,367199,2,60
image_701,gge,280800,2,48
image_702,aya,45001,2,30
image_703,fcr,1395000,1,20
image_704,fcr,997199,1,66
image_705,yit,48598,1,35
image_706,gst,61200,2,39
image_707,lac,21599,2,25
image_708,kaz,190800,2,82
image_709,etg,349200,1,15
image_710,woz,73799,1,132
image_711,qyo,53999,2,28
image_712,vsc,154800,1,40
image_713,ymo,458998,1,28
image_714,erx,435600,2,100
image_715,yab,120599,2,35
image_716,eqf,239401,1,29
image_717,jwn,57601,1,44
image_718,vfc,316800,1,30
image_719,bvg,423000,1,27
image_720,ozs,136801,1,30
image_721,hqw,72000,2,40
image_722,eqf,187200,1,31
image_723,xkr,338401,1,21
image_724,xlb,59399,2,114
image_725,vxf,111599,1,31
image_726,amn,217800,2,51
image_727,cpf,88199,2,46
image_728,hfh,590390,1,25
image_729,oey,264601,1,33
image_730,hfh,536390,1,30
image_731,nkd,476998,1,34
image_732,oli,115200,1,111
image_733,ewt,178199,1,42
image_734,rml,334800,2,40
image_735,dft,513000,1,101
image_736,pvj,682204,1,30
image_737,efl,385198,1,69
image_738,zgr,534598,1,25
image_739,woc,154798,1,60
image_740,zyp,196201,1,59
image_741,meg,97200,2,103
image_742,hoo,174600,2,34
image_743,alq,385201,1,35
image_744,zzp,543600,1,79
image_745,rkf,131399,2,25
image_746,lac,165597,2,45
image_747,blq,671400,1,53
image_748,tlc,1083599,1,75
image_749,cti,383399,1,113
image_750,bvg,100801,1,25
image_751,zza,23401,1,30
image_752,sqi,369000,1,26
image_753,dvh,437399,1,53
image_754,dwc,90001,1,38
image_755,tja,172800,1,30
image_756,oey,270000,1,32
image_757,lqy,297000,2,98
image_758,fhl,259199,1,101
image_759,fvj,165600,1,35
image_760,vfx,432005,1,60
image_761,qki,599401,1,71
image_762,mtw,604800,1,40
image_763,upx,570600,1,27
image_764,wlz,97200,2,38
image_765,ing,491400,1,70
image_766,fpa,428400,1,30
image_767,blq,414000,1,45
image_768,psz,252002,2,139
image_769,djm,424801,1,76
image_770,oup,574198,1,28
image_771,rzq,352800,1,25
image_772,xmf,304201,1,36
image_773,vxf,435599,1,72
image_774,eem,647999,1,45
image_775,dgz,253800,1,47
image_776,eml,88199,1,44
image_777,dva,59398,1,35
image_778,kqu,640801,1,84
image_779,har,44999,2,30
image_780,yfn,338401,2,79
image_781,evl,53998,1,30
image_782,xkm,208799,1,48
image_783,vgg,151201,1,102
image_784,oey,223203,1,35
image_785,zzp,509400,1,85
image_786,qki,288001,1,77
image_787,vfl,237600,2,40
image_788,wtg,59399,2,44
image_789,cjz,120600,2,46
image_790,kup,12600,1,42
image_791,ozs,75599,1,33
image_792,llm,399598,2,50
image_793,vhn,320400,2,46
image_794,aja,552600,1,15
image_795,mfm,70199,1,30
image_796,hqw,111600,2,50
image_797,hsq,133201,1,56
image_798,rzq,388798,1,25
image_799,zny,385202,1,55
image_800,vlo,324001,1,25
image_801,rzq,412198,1,25
image_802,hsq,675000,1,78
image_803,qzi,460802,1,40
image_804,xjj,401399,1,27
image_805,djb,498601,1,25
image_806,kqu,349200,1,100
image_807,afs,356398,2,25
image_808,jhp,241202,1,66
image_809,pjj,698399,1,25
image_810,meg,354600,2,119
image_811,gkf,293399,2,65
image_812,woz,414000,1,20
image_813,zny,640802,1,64
image_814,mtw,442800,1,45
image_815,ipa,957600,1,38
image_816,mtw,50401,1,30
image_817,upx,72001,1,43
image_818,djb,273600,1,30
image_819,yab,394199,2,40
image_820,scw,642601,1,20
image_821,wap,104399,1,54
image_822,aph,75600,2,35
image_823,xat,194401,2,45
image_824,cva,399599,2,55
image_825,blq,0,1,30
image_826,utr,297001,1,31
image_827,xmf,234000,1,35
image_828,crw,342000,1,70
image_829,scw,378001,1,25
image_830,fna,306001,1,59
image_831,rkw,397802,2,40
image_832,pvj,208799,1,102
image_833,eih,131399,1,69
image_834,tmv,433800,2,119
image_835,nrf,27000,1,32
image_836,cqv,169200,1,35
image_837,qzi,176401,1,55
image_838,pau,284400,1,80
image_839,zgr,448198,1,30
image_840,kqu,885600,1,25
image_841,tgs,5400,1,55
image_842,kyq,162000,2,95
image_843,dwc,27000,1,27
image_844,dti,153000,2,49
image_845,sdt,243001,1,128
image_846,xkr,167401,1,44
image_847,gux,579599,2,111
image_848,xjo,453599,1,75
image_849,tmv,298800,2,119
image_850,scw,367200,1,25
image_851,vwx,14398,2,30
image_852,snk,70200,1,97
image_853,eem,557999,1,79
image_854,hig,75600,1,30
image_855,wsy,800999,1,89
image_856,oey,122402,1,40
image_857,ugc,324001,1,25
image_858,yab,241200,2,35
image_859,hig,973800,1,53
image_860,kza,412201,1,30
image_861,ydl,86400,1,40
image_862,upx,358203,1,86
image_863,yfn,822601,2,39
image_864,tmx,324002,1,94
image_865,snk,502200,1,53
image_866,ijc,696599,1,25
image_867,gux,417600,2,125
image_868,rhy,207001,2,35
image_869,xjo,1017000,1,40
image_870,dxx,107999,2,61
image_871,dwc,255598,1,94
image_872,fgj,12600,2,43
image_873,phw,52201,1,36
image_874,xjo,394197,1,62
image_875,zgi,55798,1,69
image_876,uwv,286199,2,55
image_877,pot,604801,2,25
image_878,ztb,66600,1,45
image_879,gfk,21600,1,30
image_880,wic,167400,1,26
image_881,upj,10800,1,25
image_882,hep,50401,1,40
image_883,pth,107999,1,35
image_884,xnq,93600,2,47
image_885,yab,1800,2,31
image_886,toz,453600,2,35
image_887,tnn,244800,1,25
image_888,vye,703800,1,30
image_889,xjj,273600,1,71
image_890,pjj,215998,1,81
image_891,fcr,277200,1,50
image_892,fcr,1150200,1,37
image_893,vlo,612000,1,20
image_894,wzu,496802,1,35
image_895,dft,167400,1,63
image_896,rpk,169202,1,68
image_897,rkw,387002,2,40
image_898,meg,192600,2,124
image_899,fcr,426600,1,79
image_900,xmf,302399,1,35
image_901,xdn,50401,1,30
image_902,dvh,369001,1,55
image_903,qpq,237601,1,35
image_904,eih,435600,1,34
image_905,buv,467999,1,25
image_906,agl,370802,2,37
image_907,dce,1051190,2,100
image_908,gkf,404999,2,51
image_909,tkb,0,1,25
image_910,wzu,201600,1,80
image_911,hsq,541801,1,119
image_912,utl,237601,1,120
image_913,pbl,219597,1,46
image_914,yfn,842401,2,35
image_915,vfl,144003,2,46
image_916,rhy,313201,2,40
image_917,erd,381602,2,55
image_918,hmv,513000,1,30
image_919,qzd,327600,1,55
image_920,nkd,448198,1,41
image_921,eih,428400,1,35
image_922,iiz,169200,1,35
image_923,ojv,271800,1,32
image_924,eih,217799,1,49
image_925,gic,590403,2,45
image_926,agl,324001,2,45
image_927,kqf,37799,2,45
image_928,sta,163800,1,28
image_929,wzu,216001,1,80
image_930,lds,198002,2,31
image_931,ilk,431998,1,85
image_932,pvj,725400,1,30
image_933,sha,223202,2,55
image_934,ipa,853200,1,42
image_935,pbl,513000,1,25
image_936,lqy,152999,2,50
image_937,ydl,385202,1,30
image_938,llm,307799,2,50
image_939,ing,809999,1,35
image_940,yfn,16200,2,25
image_941,fcr,1148401,1,37
image_942,pyi,79200,1,40
image_943,oey,46803,1,26
image_944,yfj,396002,1,20
image_945,bkh,1008000,1,30
image_946,rer,88200,1,56
image_947,vgg,269999,1,65
image_948,wvi,520200,1,20
image_949,eoi,469802,1,80
image_950,woz,297001,1,35
image_951,xrh,57600,2,35
image_952,gux,390601,2,129
image_953,eoi,277202,1,64
image_954,gmt,120599,2,104
